Reference, Value, Footprint, Datasheet, Source
"R3","820R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/8878/0900766b8157adeb.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077669/"
"J2","Master/Slave","Button_Switch_THT:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile","https://docs.rs-online.com/383f/0900766b80dbe1c6.pdf","https://uk.rs-online.com/web/p/dip-sip-switches/6821058/"
"R1","10K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/76ca/0900766b8157ae01.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077745/"
"J1","Power Connector","Pauls Parts:2WayScrewTerminal_2.54","https://docs.rs-online.com/90f4/0900766b8157c7e9.pdf","https://uk.rs-online.com/web/p/pcb-terminal-blocks/7901098/"
"R6","470R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/b9c3/0900766b8157ade8.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077647/"
"J4","Conn_02x25_Odd_Even","Connector_IDC:IDC-Header_2x25_P2.54mm_Vertical","https://docs.rs-online.com/fea6/0900766b815867b9.pdf","https://uk.rs-online.com/web/p/pcb-headers/6257353/"
"R37","470R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/b9c3/0900766b8157ade8.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077647/"
"R38","1K2","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/ce35/0900766b8157adf1.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077678/"
"R41","470R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/b9c3/0900766b8157ade8.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077647/"
"R45","470R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/b9c3/0900766b8157ade8.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077647/"
"R49","470R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/b9c3/0900766b8157ade8.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077647/"
"R39","470R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/b9c3/0900766b8157ade8.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077647/"
"R43","470R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/b9c3/0900766b8157ade8.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077647/"
"R47","470R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/b9c3/0900766b8157ade8.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077647/"
"R52","470R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/b9c3/0900766b8157ade8.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077647/"
"R42","1K2","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/ce35/0900766b8157adf1.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077678/"
"R46","1K2","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/ce35/0900766b8157adf1.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077678/"
"R50","1K2","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/ce35/0900766b8157adf1.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077678/"
"R51","1K2","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/ce35/0900766b8157adf1.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077678/"
"R48","1K2","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/ce35/0900766b8157adf1.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077678/"
"R44","1K2","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/ce35/0900766b8157adf1.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077678/"
