Reference, Quantity, Value, Footprint, Datasheet, Source
C1 ,1,"100uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","https://docs.rs-online.com/bcd8/0900766b814894c5.pdf","https://uk.rs-online.com/web/p/aluminium-capacitors/3150962/"
C2 ,1,"10nF","Capacitor_THT:C_Rect_L10.0mm_W4.0mm_P7.50mm_MKS4","https://docs.rs-online.com/9793/0900766b814700cb.pdf","https://uk.rs-online.com/web/p/polypropylene-film-capacitors/8961512/"
C3 ,1,"68uF","Capacitor_THT:C_Radial_D4.0mm_H7.0mm_P1.50mm","https://docs.rs-online.com/f424/0900766b80becf93.pdf","https://uk.rs-online.com/web/p/aluminium-capacitors/0572312/"
D2 ,1,"1N5819RL","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","https://docs.rs-online.com/6961/0900766b80da3e32.pdf","https://uk.rs-online.com/web/p/schottky-diodes-rectifiers/6870754/"
J1 ,1,"Power Connector","Pauls Parts:2WayScrewTerminal_2.54","https://docs.rs-online.com/90f4/0900766b8157c7e9.pdf","https://uk.rs-online.com/web/p/pcb-terminal-blocks/7901098/"
J2 ,1,"Master/Slave","Button_Switch_THT:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile","https://docs.rs-online.com/383f/0900766b80dbe1c6.pdf","https://uk.rs-online.com/web/p/dip-sip-switches/6821058/"
J3 ,1,"Buttons","Pauls Parts:4WayScrewTerminal_2.54mm","https://docs.rs-online.com/02e6/0900766b8157c7ed.pdf","https://uk.rs-online.com/web/p/pcb-terminal-blocks/7901102/"
J4 J5 ,2,"Conn_02x25_Odd_Even","Connector_IDC:IDC-Header_2x25_P2.54mm_Vertical","https://docs.rs-online.com/fea6/0900766b815867b9.pdf","https://uk.rs-online.com/web/p/pcb-headers/6257353/"
L1 ,1,"47uH","Inductor_THT:L_Toroid_Vertical_L14.7mm_W8.6mm_P5.58mm_Pulse_KM-1","https://docs.rs-online.com/24ef/0900766b81505716.pdf","https://uk.rs-online.com/web/p/leaded-inductors/1048418/"
R1 ,1,"10K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/76ca/0900766b8157ae01.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077745/"
R3 ,1,"820R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/8878/0900766b8157adeb.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077669/"
R2 R4 R5 R8 R9 R10 R11 R12 R13 R14 R15 R16 R17 R18 R19 R20 R22 R24 R26 R28 R30 R32 R34 R36 R38 R40 R42 R44 R46 R48 R50 R51 ,32,"1K2","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/ce35/0900766b8157adf1.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077678/"
R53 ,1,"330R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/8434/0900766b8157ade3.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077622/"
R6 R7 R21 R23 R25 R27 R29 R31 R33 R35 R37 R39 R41 R43 R45 R47 R49 R52 ,18,"470R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","https://docs.rs-online.com/b9c3/0900766b8157ade8.pdf","https://uk.rs-online.com/web/p/through-hole-fixed-resistors/7077647/"
U1 ,1,"ESP32_DevKit_V4","ESP32_DevKit_V4:esp32_devkit_v4","https://docs.espressif.com/projects/esp-idf/en/latest/esp32/hw-reference/esp32/get-started-devkitc.html#","https://www.amazon.co.uk/Dorhea-ESP32-DevKitC-Development-ESP32-WROOM-32U-Amplifier/dp/B08T5RBCXS/ref=sr_1_10?dchild=1&keywords=esp32+devkitc+v4&qid=1621968791&sr=8-10"
U2 U3 ,2,"MCP23017_SP","Package_DIP:DIP-28_W7.62mm","https://docs.rs-online.com/3aed/0900766b8137eed4.pdf","https://uk.rs-online.com/web/p/io-expanders/0403806/"
U4 ,1,"LM2675N-5","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm2675.pdf","https://uk.farnell.com/texas-instruments/lm2675n-5-0-nopb/ic-dc-dc-converter-1a/dp/3122905?st=lm2675n-5"
